"CITY","STABBR","ACCREDAGENCY","SCH_DEG","HCM2","MAIN","NUMBRANCH","CONTROL","REGION","LOCALE","LATITUDE","LONGITUDE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","RELAFFIL","ADM_RATE","ACTCM25","ACTWR25","ACTWR75"
"Normal","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"12","34.783368","-86.568502","18","10","14","1","0","0","0","0","0","0","0","0","NULL","0.9027","16","NULL","NULL"
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"12","33.505697","-86.799345","15","9","15","0","0","0","0","0","0","0","0","0","NULL","0.9181","21","NULL","NULL"
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"12","32.362609","-86.17401","20","5","6","0","0","0","0","0","0","0","0","0","74","NULL","NULL","NULL","NULL"
"Huntsville","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"12","34.724557","-86.640449","16","15","12","0","0","0","0","0","0","0","0","0","NULL","0.8123","25","NULL","NULL"
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"12","32.364317","-86.295677","19","10","14","1","0","0","0","0","0","0","0","0","NULL","0.9787","16","NULL","NULL"
"Tuscaloosa","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"12","33.211875","-87.545978","15","14","16","0","0","0","0","0","0","0","0","0","NULL","0.533","23","7","8"
"Alexander City","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"32","32.92478","-85.945266","2","2","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Athens","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"31","34.806793","-86.964698","22","5","9","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"12","32.36736","-86.177544","18","9","13","0","0","0","0","0","0","0","0","0","NULL","0.8254","19","NULL","NULL"
"Auburn","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"13","32.599378","-85.488258","15","14","15","0","0","0","0","0","0","0","0","0","NULL","0.8393","24","7","8"
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"12","33.513774","-86.850552","21","14","11","0","0","0","0","0","0","0","0","0","71","0.6186","23","NULL","NULL"
"Phenix City","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"41","32.42391","-85.031485","1","2","2","0","1","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Selma","AL","NULL","2",0,1,1,2,5,"32","32.425647","-87.019145","23","10","8","1","0","0","0","0","0","0","0","0","68","NULL","NULL","NULL","NULL"
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,0,15,3,5,"12","32.342684","-86.216488","20","7","6","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Enterprise","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"32","31.297496","-85.836956","5","2","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Bay Minette","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,3,1,5,"32","30.851343","-87.778193","5","2","4","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"12","32.384181","-86.21641","19","7","10","0","1","0","0","0","0","0","0","0","74","0.5101","18","NULL","NULL"
"Gadsden","AL","Southern Association of Colleges and Schools Commission on Colleges","1",0,1,1,1,5,"13","33.994001","-85.991438","7","2","3","1","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Albertville","AL","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"32","34.27871","-86.196931","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Dothan","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"13","31.315274","-85.465836","7","2","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
