"ACCREDAGENCY","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","HCM2","CONTROL"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X18","X10","X14","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X15","X9","X15","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X20","X5","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X16","X15","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X19","X10","X14","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X15","X14","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X2","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X31","X22","X5","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X18","X9","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X15","X14","X15","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X21","X14","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X1","X2","X2","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X5","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X5","X2","X4","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X19","X7","X10","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X7","X2","X3","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X7","X2","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X7","X2","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X5","X2","X2","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X22","X8","X7","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Association.for.Bibical.Higher.Educaiton","X13","X24","X5","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X7","X2","X1","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X18","X13","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X8","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X2","X1","X4","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X43","X21","X9","X7","X0","X0","X0","X0","X0","X0","X0","X0","X1","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X4","X2","X3","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X43","X18","X11","X13","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X5","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X43","X1","X4","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X22","X11","X11","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X22","X13","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X19","X13","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X5","X2","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X18","X13","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X42","X5","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X22","X10","X11","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Council.on.Occupational.Education","X41","X8","X2","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X8","X2","X3","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X17","X14","X14","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X7","X2","X3","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X2","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X16","X13","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X21","X12","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X21","X15","X8","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X21","X11","X8","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X7","X2","X2","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X33","X18","X7","X15","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
