"CITY","STABBR","ACCREDAGENCY","SCH_DEG","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","HCM2","PREDDEG","HIGHDEG","CONTROL","REGION","LATITUDE","LONGITUDE"
"Normal","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","18","10","14","1","0","0","0","0","0","0","0","0",0,3,4,1,5,2044,4774
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","15","9","15","0","0","0","0","0","0","0","0","0",0,3,4,1,5,1373,4816
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","20","5","6","0","0","0","0","0","0","0","0","0",0,3,4,2,5,992,4712
"Huntsville","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","16","15","12","0","0","0","0","0","0","0","0","0",0,3,4,1,5,2012,4784
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","19","10","14","1","0","0","0","0","0","0","0","0",0,3,4,1,5,993,4744
"Tuscaloosa","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","15","14","16","0","0","0","0","0","0","0","0","0",0,3,4,1,5,1290,4917
"Alexander City","AL","Southern Association of Colleges and Schools Commission on Colleges","2","32","2","2","2","0","0","0","0","0","0","0","0","0",0,2,2,1,5,1234,4675
"Athens","AL","Southern Association of Colleges and Schools Commission on Colleges","3","31","22","5","9","0","0","0","0","0","0","0","0","0",0,3,3,1,5,2049,4850
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","18","9","13","0","0","0","0","0","0","0","0","0",0,3,4,1,5,995,4714
"Auburn","AL","Southern Association of Colleges and Schools Commission on Colleges","3","13","15","14","15","0","0","0","0","0","0","0","0","0",0,3,4,1,5,1073,4594
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","21","14","11","0","0","0","0","0","0","0","0","0",0,3,3,2,5,1377,4834
"Phenix City","AL","Southern Association of Colleges and Schools Commission on Colleges","2","41","1","2","2","0","1","0","0","0","0","0","0","0",0,2,2,1,5,1014,4545
"Enterprise","AL","Southern Association of Colleges and Schools Commission on Colleges","2","32","5","2","2","0","0","0","0","0","0","0","0","0",0,2,2,1,5,880,4666
"Bay Minette","AL","Southern Association of Colleges and Schools Commission on Colleges","2","32","5","2","4","0","0","0","0","0","0","0","0","0",0,2,2,1,5,857,5026
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","19","7","10","0","1","0","0","0","0","0","0","0",0,3,4,2,5,1001,4725
"Gadsden","AL","Southern Association of Colleges and Schools Commission on Colleges","1","13","7","2","3","1","0","0","0","0","0","0","0","0",0,1,2,1,5,1689,4679
"Albertville","AL","National Accrediting Commission of Career Arts and Sciences","1","32","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,5,1930,4719
"Dothan","AL","Southern Association of Colleges and Schools Commission on Colleges","2","13","7","2","3","0","0","0","0","0","0","0","0","0",0,2,2,1,5,882,4590
"Hanceville","AL","Southern Association of Colleges and Schools Commission on Colleges","2","32","7","2","3","0","0","0","0","0","0","0","0","0",0,2,2,1,5,1779,4810
"Selma","AL","Southern Association of Colleges and Schools Commission on Colleges","2","32","5","2","2","0","1","0","0","0","0","0","0","0",0,2,2,1,5,1027,4853
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","22","8","7","0","0","0","0","0","0","0","0","0",0,3,3,2,5,988,4742
"Florence","AL","Association for Bibical Higher Educaiton","3","13","24","5","6","0","0","0","0","0","0","0","0","0",0,3,4,2,5,2055,4985
"Huntsville","AL","Southern Association of Colleges and Schools Commission on Colleges","1","12","7","2","1","1","0","0","0","0","0","0","0","0",0,1,2,1,5,2039,4777
"Jacksonville","AL","Southern Association of Colleges and Schools Commission on Colleges","3","13","18","13","13","0","0","0","0","0","0","0","0","0",0,3,4,1,5,1563,4660
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","2","12","8","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,5,1451,4802
"Tanner","AL","Southern Association of Colleges and Schools Commission on Colleges","2","41","2","1","4","0","0","0","0","0","0","0","0","0",0,2,2,1,5,1988,4849
"Marion","AL","Southern Association of Colleges and Schools Commission on Colleges","3","43","21","9","7","0","0","0","0","0","0","0","0","1",0,3,3,2,5,1078,4880
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","1","12","4","2","3","1","0","0","0","0","0","0","0","0",0,1,2,1,5,1345,4844
"Livingston","AL","Southern Association of Colleges and Schools Commission on Colleges","3","43","18","11","13","0","1","0","0","0","0","0","0","0",0,3,4,1,5,1070,5145
"Andalusia","AL","Southern Association of Colleges and Schools Commission on Colleges","2","41","5","2","2","0","0","0","0","0","0","0","0","0",0,2,2,1,5,884,4763
"Marion","AL","Southern Association of Colleges and Schools Commission on Colleges","2","43","1","4","1","0","0","0","0","0","0","0","0","0",0,2,2,1,5,1076,4881
"Fairfield","AL","Southern Association of Colleges and Schools Commission on Colleges","3","21","22","11","11","1","0","0","0","0","0","0","0","0",0,3,3,2,5,1365,4846
"Mobile","AL","Southern Association of Colleges and Schools Commission on Colleges","3","41","22","13","11","0","0","0","0","0","0","0","0","0",0,3,4,2,5,853,5135
"Montevallo","AL","Southern Association of Colleges and Schools Commission on Colleges","3","21","19","13","11","0","0","0","0","0","0","0","0","0",0,3,4,1,5,1267,4839
"Muscle Shoals","AL","Southern Association of Colleges and Schools Commission on Colleges","2","13","5","2","3","0","0","0","0","0","0","0","0","0",0,2,2,1,5,2021,4992
"Florence","AL","Southern Association of Colleges and Schools Commission on Colleges","3","13","18","13","13","0","0","0","0","0","0","0","0","0",0,3,4,1,5,2048,4995
"Rainsville","AL","Southern Association of Colleges and Schools Commission on Colleges","1","42","5","2","2","0","0","0","0","0","0","0","0","0",0,1,2,1,5,1972,4672
"Huntsville","AL","Southern Association of Colleges and Schools Commission on Colleges","3","12","22","10","11","1","0","0","0","0","0","0","0","0",0,3,4,2,5,2032,4785
